symbol,currency_code,currency_name,sector,industry,rank,target_weight,is_previous_holding,selection_reason,force_sell_reason,composite_score,shareholder_yield,gross_profitability,adjusted_book_to_market,pead_signal,sentiment_acceleration,news_event_signal,news_event_effective_signal,news_peer_spillover_signal,news_article_count_recent,dividend_safety_pass,price_to_200dma
ADTN.US,USD,US Dollar,Technology,Communication Equipment,48,0.016666666666666666,False,rank_fill,,0.3438440896035294,-0.0103131968376242,0.3445059456551428,0.8263348533232411,0.00463337188659,0.0060000000000001,0.3440499999999999,0.3440499999999999,0.0,1.0,1.0,1.4805313866753893
ULS.US,USD,US Dollar,Industrials,Specialty Business Services,50,0.016666666666666666,False,rank_fill,,0.323861605537151,-0.0031502487562188,0.5127767887709689,0.1088730229377468,0.0,,,,0.0,,1.0,1.1161593886834085
WTS.US,USD,US Dollar,Industrials,Specialty Industrial Machinery,51,0.016666666666666666,False,rank_fill,,0.317085816770026,0.0072,0.4185755935027072,0.251233770611349,0.0,,,,0.0,,1.0,1.0673085296228269
SPH.US,USD,US Dollar,Utilities,Utilities - Regulated Gas,52,0.016666666666666666,False,rank_fill,,0.2994096319251185,0.0527640890794404,0.1318172735483657,0.4880779932739096,-0.0,,,,0.0,0.0,1.0,1.0741093757905076
CALY.US,USD,US Dollar,Consumer Cyclical,Leisure,53,0.016666666666666666,False,rank_fill,,0.2944857959351431,0.086012683723462,0.1190776832281087,1.0624329828003212,,,,,0.0,,1.0,1.2839889357523384
TRN.US,USD,US Dollar,Industrials,Railroads,54,0.016666666666666666,False,rank_fill,,0.2921269996666897,0.0540394299287411,0.0679811025117515,0.4511140320020911,0.0,,,,0.0,,1.0,1.1366687956957855
IRMD.US,USD,US Dollar,Healthcare,Medical Devices,55,0.016666666666666666,False,rank_fill,,0.2893210607614458,0.0026896405210506,0.591343678752666,0.0907462950702456,0.0,,,,0.0,,1.0,1.1646030451325948
KEYS.US,USD,US Dollar,Technology,Scientific & Technical Instruments,56,0.016666666666666666,False,rank_fill,,0.2887826497774701,0.0114285714285714,0.2954927831399982,0.1739749305442714,0.0076257840668375,,,,0.0,,1.0,1.5780405007954692
BVS.US,USD,US Dollar,Healthcare,Medical Devices,57,0.016666666666666666,False,rank_fill,,0.2777844442241592,-0.0544676399966863,0.559468897344633,0.6777014473547448,0.1393830831143149,,,,0.0,,1.0,1.1945780303864828
IESC.US,USD,US Dollar,Industrials,Engineering & Construction,58,0.016666666666666666,False,rank_fill,,0.2771946012276279,0.0113741366642174,0.5386463666154653,0.1089607076482337,0.0,,,,0.0,0.0,1.0,1.2998542917503164
